offering_name,category,seasonal,seasonal_months,year_round,content_priority,search_intent,available_dine_in,available_takeout,available_delivery,notes
Kids Fish & Chips,food,no,,yes,low,transactional,yes,yes,yes,$11. Kids menu (12 & under).
Kids Burger,food,no,,yes,low,transactional,yes,yes,yes,$11.
Kids Fingers,food,no,,yes,low,transactional,yes,yes,yes,$11.
Kids Grilled Cheese,food,no,,yes,low,transactional,yes,yes,yes,$11.
Kids Mac & Cheese,food,no,,yes,low,transactional,yes,yes,yes,$11.
Donair Monday Special,food,yes,monday,no,medium,transactional,yes,yes,no,$13. Every Monday. Content/GBP post opportunity.
Fish Tuesday Special,food,yes,tuesday,no,medium,transactional,yes,yes,no,$13 for 1pc fish & chips. Every Tuesday.
Wing Wednesday Special,food,yes,wednesday,no,high,transactional,yes,yes,no,$13/lb jumbo wings. Every Wednesday. High search volume potential.
Burger Thursday Special,food,yes,thursday,no,medium,transactional,yes,yes,no,$13 Williamsburger with side. Every Thursday.
Monthly Chef Specials,food,yes,rotating,no,high,informational,yes,yes,yes,Rotating monthly. April 2026: Pad Thai $23 / Blackened Orange Roughy $25 / Pesto Chicken Gorgonzola $23 / Veal Parm Sannie $20. Blog content opportunity each month.
Jumbo Chicken Wings Platter,food,no,,yes,high,transactional,yes,yes,no,25 wings w/ 2 sauces $55 / 50 wings w/ 4 sauces $95. Group format of signature item.
Sandwich Platter,food,no,,yes,medium,transactional,yes,yes,no,Chef's choice cold sandwiches. 16 pieces $50 / 32 pieces $95. Some platters require 48hr notice.
Crudite Platter,food,no,,yes,low,transactional,yes,yes,no,Vegetarian + GF. Assorted veggies w/ ranch or blue cheese dip. Small (10-15 ppl) $40 / Large (20-30 ppl) $65.
Malt Salad Platter,food,no,,yes,low,transactional,yes,yes,no,Vegetarian + GF. House greens / pickled apple & blueberries / golden beets / sunflower seed granola / red onion / goat cheese / house dressing. Feeds 5-7 ppl. $40.
Caesar Salad Platter,food,no,,yes,low,transactional,yes,yes,no,Romaine / grana padano / bacon / croutons / house dressing / crispy capers. Feeds 5-7 ppl. $40.
Cheesy Garlic Fingers Platter,food,no,,yes,medium,transactional,yes,yes,no,Vegetarian. Garlic butter / mozzarella / sweet garlic sauce. 16 pieces. $18.
Pickle Fingers Platter,food,no,,yes,medium,transactional,yes,yes,no,Vegetarian. Garlic butter / mozzarella / pickles / ranch. 16 pieces. $19.
Donair Fingers Platter,food,no,,yes,high,transactional,yes,yes,no,Garlic butter / mozzarella / donair meat / onion / tomato / sweet garlic sauce. 16 pieces. $20. East Coast identity content asset.
Donair Platter,food,no,,yes,high,transactional,yes,yes,no,16 mini Halifax Classic donairs. $75. Signature group item - strongest East Coast content hook on the platter menu.
Munchie Platter,food,no,,yes,high,transactional,yes,yes,no,Chicken bites / onion rings / hand cut fries / nachos / cheesy garlic fingers / carrots & celery / dippin' sauces. Feeds 8-10 ppl. $90. Sub wings +$10 / sub cauli bites for vegetarian option.
Nachos Platter,food,no,,yes,low,transactional,yes,yes,no,Vegetarian. Bell pepper / pico de gallo / green onions / pickled jalapeños / chili chive crema. Feeds 5 ppl. $24.
Sticky Toffee Pudding Platter,food,no,,yes,medium,transactional,yes,yes,no,Vegetarian. Secret family recipe toffee cake / sticky sauce. 24 pieces. $80. Only dessert platter - strong group dining differentiator.
24 Rotating Draught Taps,drink,no,,yes,high,informational,yes,no,no,Local craft beer focus. Known taps from Untappd check-ins: Wellington Brewery S.P.A. / Forked River Interstellar IPA / Forked River Full City Coffee Porter. Full list rotates - not published on site. Content opportunity: monthly tap roundup.
Trivia Tuesdays,experience,no,,yes,high,informational,yes,no,no,Weekly. Tuesdays 7-9pm. General knowledge. High local search potential.
Music Bingo,experience,no,,yes,high,informational,yes,no,no,Thursdays 7-9pm. Rotating themes (Guitar Hero / Breakout Hits etc.).
Live Music Fridays,experience,no,,yes,medium,informational,yes,no,no,Fridays 7:30-10:30pm. Rotating artists.
Live Music Saturdays,experience,no,,yes,medium,informational,yes,no,no,Saturdays 7:30-10:30pm. Rotating artists.
Acoustic Sundays,experience,no,,yes,medium,informational,yes,no,no,Sundays 2:30-4:30pm. Softer daytime programming.
Sports Viewing,experience,no,,yes,medium,informational,yes,no,no,8 TVs. FuboTV + DAZN. Premier League / Champions League / NHL / NBA / NFL / MLB. Daily.
Private Events,service,no,,yes,medium,transactional,yes,no,no,Back room. 25 seated / 40 standing. No room rental fee. Full menu + platter menu + full bar. Natural light + privacy blinds. Decorations allowed. Cake service $1.50/person (licensed bakery only). Some platters require 48hr notice. Book early for weekends and Nov-Dec. Call (226) 240-5249 or book online.
Reservations,service,no,,yes,low,navigational,yes,no,no,Available online. Platform [NEEDS CONFIRMATION].
Takeout,service,no,,yes,low,transactional,yes,yes,no,Available.
Delivery,service,no,,yes,low,transactional,yes,no,yes,Available on UberEats / DoorDash / SkipTheDishes. DoorDash top orders: Fish & Chips / Williamsburger / Mac & Cheese.
Patio,experience,no,,yes,medium,informational,yes,no,no,Outdoor seating. Seasonal (Ontario weather). Content opportunity in summer.
